candidate_name,json_path,calibration_kind,overall_expected,classification_expected,description_expected,label_changes_vs_anchor,text_changed_rows_vs_anchor,transition_counts,warnings
track2_submission_v17_balanced_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v17_balanced_candidate.json,estimated,0.836116,0.72135,0.950882,15,81,alarmed->sad:1; aroused->calm:1; calm->aroused:1; calm->bored:1; calm->excited:1; calm->sad:1; calm->tired:1; content->excited:2; content->happy:1; tired->calm:1; tired->content:1; tired->sad:3,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v19_balanced_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v19_balanced_candidate.json,estimated,0.836051,0.72122,0.950882,29,81,alarmed->frustrated:1; annoyed->calm:2; aroused->excited:1; calm->bored:1; calm->tired:1; content->calm:5; content->excited:3; excited->happy:2; happy->excited:1; sad->calm:2; tired->bored:2; tired->calm:1; tired->sad:7,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v12_stable_probe_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v12_stable_probe_candidate.json,visible_official,0.835833,0.721667,0.95,0,12,,exact_unavailable_visible_leaderboard_only
track2_submission_v14_description_max_safe_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v14_description_max_safe_candidate.json,visible_official,0.835833,0.721667,0.95,0,12,,exact_unavailable_visible_leaderboard_only
track2_submission_v4_safe_mid_all_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v4_safe_mid_all_candidate.json,estimated,0.835738,0.72181,0.949667,99,0,aroused->excited:1; bored->sad:1; calm->content:43; calm->glad:2; content->calm:34; content->glad:5; excited->happy:1; glad->calm:1; glad->content:4; happy->excited:3; sad->tired:1; tired->sad:3,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v4_sameq_no_objection_score3_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v4_sameq_no_objection_score3_candidate.json,estimated,0.835738,0.72181,0.949667,99,0,aroused->excited:1; bored->sad:1; calm->content:43; calm->glad:2; content->calm:34; content->glad:5; excited->happy:1; glad->calm:1; glad->content:4; happy->excited:3; sad->tired:1; tired->sad:3,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v19_probe_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v19_probe_candidate.json,estimated,0.835451,0.72002,0.950882,39,81,alarmed->frustrated:1; alarmed->sad:1; annoyed->calm:3; aroused->excited:1; calm->bored:1; calm->excited:1; calm->tired:1; content->calm:5; content->excited:3; excited->calm:1; excited->happy:2; happy->calm:1; happy->excited:1; sad->calm:3; tired->bored:2; tired->calm:4; tired->content:1; tired->sad:7,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v9_vulca_entailment_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v9_vulca_entailment_candidate.json,estimated,0.834776,0.71915,0.950402,85,49,aroused->excited:1; bored->sad:1; calm->content:43; calm->glad:2; content->calm:20; content->glad:5; excited->happy:1; glad->calm:1; glad->content:4; happy->excited:3; sad->tired:1; tired->sad:3,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v3_push_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v3_push_candidate.json,estimated,0.834719,0.71977,0.949667,116,0,alarmed->aroused:1; annoyed->calm:1; aroused->calm:1; aroused->excited:1; bored->sad:1; calm->aroused:2; calm->bored:3; calm->content:43; calm->glad:2; calm->sad:1; calm->tired:7; content->annoyed:1; content->calm:34; content->glad:5; excited->happy:1; glad->calm:1; glad->content:4; happy->excited:3; sad->tired:1; tired->sad:3,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v5_cross1_gemini35_desc_192_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v5_cross1_gemini35_desc_192_candidate.json,estimated,0.834649,0.71903,0.950267,86,40,annoyed->calm:1; aroused->excited:1; bored->sad:1; calm->content:43; calm->glad:2; content->calm:20; content->glad:5; excited->happy:1; glad->calm:1; glad->content:4; happy->excited:3; sad->tired:1; tired->sad:3,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v7_cross1_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v7_cross1_candidate.json,estimated,0.834649,0.71903,0.950267,86,40,annoyed->calm:1; aroused->excited:1; bored->sad:1; calm->content:43; calm->glad:2; content->calm:20; content->glad:5; excited->happy:1; glad->calm:1; glad->content:4; happy->excited:3; sad->tired:1; tired->sad:3,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v7_cross3_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v7_cross3_candidate.json,estimated,0.834649,0.71903,0.950267,86,40,annoyed->calm:1; aroused->excited:1; bored->sad:1; calm->content:43; calm->glad:2; content->calm:20; content->glad:5; excited->happy:1; glad->calm:1; glad->content:4; happy->excited:3; sad->tired:1; tired->sad:3,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v7_hardcase_push_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v7_hardcase_push_candidate.json,estimated,0.834649,0.71903,0.950267,86,40,annoyed->calm:1; aroused->excited:1; bored->sad:1; calm->content:43; calm->glad:2; content->calm:20; content->glad:5; excited->happy:1; glad->calm:1; glad->content:4; happy->excited:3; sad->tired:1; tired->sad:3,not_hidden_label_reconstruction;out_of_family_label_changes
